Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
Emballonuridae,Taphozous,hamiltoni,FMNH,,NA,South Sudan,"Loqutor (Torit, 30 mi NE)",4.6667,32.8333,Koopman 1975,,
Emballonuridae,Taphozous,hamiltoni,ZMK,,NA,South Sudan,"Molongori (Torit, 25 mi SE)",4.25,32.6667,Koopman 1975,,
Emballonuridae,Taphozous,hamiltoni,FMNH,,NA,South Sudan,Nimule,3.6,32.05,Koopman 1975,,
Emballonuridae,Taphozous,hamiltoni,FMNH,,NA,South Sudan,Okaru,4.4833,32.1667,Koopman 1975,,
Emballonuridae,Taphozous,hamiltoni,BMNH,,NA,Sudan,Jebel Kau,10.5833,31.5833,Koopman 1975,,
Emballonuridae,Taphozous,hildegardeae,BMNH 1909.6.12.7,01-Aug-09,1909,Kenya,Rabai (Mombasa),-3.9333,39.5667,Aggundey & Schlitter 1984,Holotype,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,Gede,-3.3,40.0167,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,Manda Island,-2.2833,40.95,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,"Mombasa, Kilindini",-4.05,39.65,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,"Ngombeni, Mombasa 11 km S",-4.1333,39.65,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,Ngomeni,-3,40.1833,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,Shimoni,-4.62,39.36,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,Tiwi ,-4.2333,39.5833,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Kenya,Ukunda,-4.2833,39.5667,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hildegardeae,,,NA,Tanzania,Tanga,-5.0667,39.1,Kock & Howell 1988,,
Emballonuridae,Taphozous,mauritianus,TM1097,01-Feb-08,1908,South Africa,Tzaneen,-23.83,30.17,Monadjem et al. 2020,,Yes
Emballonuridae,Taphozous,mauritianus,DM15,23-Nov-17,1917,South Africa,Durban,-29.85,31,Monadjem et al. 2020,,Yes
Emballonuridae,Taphozous,mauritianus,TM2353,14-Feb-18,1918,South Africa,Durban,-29.85,31,Monadjem et al. 2020,,Yes
Emballonuridae,Taphozous,mauritianus,KM32581,15-Feb-20,1920,South Africa,Albany District,-33.3,26.08,Monadjem et al. 2020,,Yes
Emballonuridae,Taphozous,mauritianus,TM3491,02-Apr-23,1923,South Africa,Greytown,-29.13,30.63,Monadjem et al. 2020,,Yes
Emballonuridae,Taphozous,mauritianus,MCZ,07-Mar-30,1930,Tanzania,"southwestern Tanzania, Mwaya",-8.9156,36.8257,GBIF,,
Emballonuridae,Taphozous,mauritianus,TM34133,01-Nov-33,1933,South Africa,Waterberg District,-22.53,29.43,Monadjem et al. 2020,,Yes
Emballonuridae,Taphozous,mauritianus,KM11767,15-Aug-46,1946,Malawi,Nkhotakota,-12.93,34.3,Monadjem et al. 2020,,Yes
Emballonuridae,Taphozous,mauritianus,MHNG,27-Oct-51,1951,Senegal,"Dakar, Réservoir du point y/Région de Dakar",14.6722,-17.4317,GBIF,,
Emballonuridae,Taphozous,mauritianus,NMZB8293,16-Dec-58,1958,Zambia,Kabompo Boma,-13.58,24.2,Monadjem et al. 2020,,Yes
